Qty;Value;Device;Package
1;;3PDT.LUGS;3PDT.LUGS
1;;SPDT.LUGS;SPDT.LUGS
7;100k;R-US_R0805;R0805
1;100n;C-EUC0805;C0805
1;100p;C-EUC0805;C0805
3;100u;CPOL-USE2.5-6;E2,5-6
28;10k;R-US_R0805;R0805
2;10kB;16MM.1;16MM_B.MOUNT
1;15k;R-US_R0805;R0805
3;1M;R-US_R0805;R0805
1;1N5817;DO41.3;DO41-3
1;1k;R-US_R0805;R0805
1;1n;C-EUC0805;C0805
1;1u;C-EUC0805;C0805
1;22k;R-US_R0805;R0805
1;47k;R-US_R0805;R0805
8;47n;C-EUC0805;C0805
3;4n7;C-EUC0805;C0805
1;68k;R-US_R0805;R0805
1;ATTINY85-20SU;ATTINY85-20SU;SOIC127P798X216-8N
1;B500k;DUALGANG.2;16MM_DUALGANG
2;CD4066BM96;CD4066BM96;SOIC127P600X175-14N
1;LED-RGB;LED-RGB;5MM-RGB
1;LM78L.;LM78L.;TO92
1;RLED_B;R-US_R0805;R0805
1;RLED_G;R-US_R0805;R0805
1;RLED_R;R-US_R0805;R0805
2;TL072D;TL072D;SO08
2;TL074D;TL074D;SO14
